xi,S_hor,S_rad,S_tot,eta_GSL,P_norm
4.100502512562814061e+00,1.563382538673591560e+00,2.692894912407720831e+00,4.256277451081312613e+00,5.999678530835113044e-01,2.582651737485894561e+07
4.160804020100502321e+00,1.465538724798232773e+00,2.730824146898913618e+00,4.196362871697146169e+00,5.961032136160121508e-01,2.582651737485912815e+07
4.221105527638190580e+00,1.429757107540289507e+00,2.662891046139964857e+00,4.092648153680254808e+00,5.895297448719744038e-01,2.582651737485933304e+07
4.281407035175878839e+00,1.559120210496098613e+00,2.771167387652511138e+00,4.330287598148609973e+00,5.996454473659588169e-01,2.582651737485953420e+07
4.341708542713567986e+00,1.538521933969443367e+00,2.727402454389950659e+00,4.265924388359394470e+00,5.956695158276636981e-01,2.582651737485970184e+07
4.402010050251256246e+00,1.437037938762016465e+00,2.696949344805823490e+00,4.133987283567839732e+00,5.876819225248819389e-01,2.582651737485987693e+07
4.462311557788944505e+00,1.412779339356821318e+00,2.668925446989098393e+00,4.081704786345920155e+00,5.845756421149090887e-01,2.582651737486007065e+07
4.522613065326632764e+00,1.603319230718853516e+00,2.705059296808106417e+00,4.308378527526960156e+00,5.938823289951268292e-01,2.582651737486024573e+07
4.582914572864321023e+00,1.553044855589344575e+00,2.659963572703287760e+00,4.213008428292631891e+00,5.883368354089383301e-01,2.582651737486038730e+07
4.643216080402010171e+00,1.452391815525980290e+00,2.696293758294249443e+00,4.148685573820229955e+00,5.846547626116804786e-01,2.582651737486054376e+07
4.703517587939698430e+00,1.509345754901683101e+00,2.703168419897779451e+00,4.212514174799462552e+00,5.872182831425519778e-01,2.582651737486072257e+07
4.763819095477386689e+00,1.535584236609027320e+00,2.715891477265895304e+00,4.251475713874922846e+00,5.887675837291899139e-01,2.582651737486091256e+07
4.824120603015074948e+00,1.531184745681609893e+00,2.701985648752730729e+00,4.233170394434340622e+00,5.877311652198397018e-01,2.582651737486110628e+07
4.884422110552763208e+00,1.547153081057462520e+00,2.720191204259256423e+00,4.267344285316719166e+00,5.890815701228987455e-01,2.582651737486129627e+07
4.944723618090452355e+00,1.578218546236079600e+00,2.726381012792777891e+00,4.304599559028857492e+00,5.905436947549936866e-01,2.582651737486148253e+07
5.005025125628140614e+00,1.406464385486741797e+00,2.790282358794614836e+00,4.196746744281356634e+00,5.845226227172602984e-01,2.582651737486164644e+07
5.065326633165828873e+00,1.531681875215372468e+00,2.746997666519860992e+00,4.278679541735233016e+00,5.877159586682274561e-01,2.582651737486182153e+07
5.125628140703517133e+00,1.479604152119579297e+00,2.752925989388915973e+00,4.232530141508495269e+00,5.851825986631931098e-01,2.582651737486198917e+07
5.185929648241205392e+00,1.578218804322371049e+00,2.671070354232067512e+00,4.249289158554438117e+00,5.858309189064784261e-01,2.582651737486217171e+07
5.246231155778894539e+00,1.496372621080929166e+00,2.677614815000040061e+00,4.173987436080969005e+00,5.817456361789601349e-01,2.582651737486234307e+07
5.306532663316582799e+00,1.522221408985859670e+00,2.709229453358004580e+00,4.231450862343864472e+00,5.839596072063163446e-01,2.582651737486250699e+07
5.366834170854271058e+00,1.512780012802639851e+00,2.744941591837225303e+00,4.257721604639865376e+00,5.849639872189394962e-01,2.582651737486268580e+07
5.427135678391959317e+00,1.602023121238894898e+00,2.738514141533384905e+00,4.340537262772279803e+00,5.880986862831506512e-01,2.582651737486289069e+07
5.487437185929647576e+00,1.683243763988196529e+00,2.787530271222155243e+00,4.470774035210351549e+00,5.929336854617017760e-01,2.582651737486305460e+07
5.547738693467336724e+00,1.229811311406043828e+00,2.854057531459589292e+00,4.083868842865633120e+00,5.729537657404085715e-01,2.582651737486319616e+07
5.608040201005024983e+00,1.657058695051889963e+00,2.662012685786872446e+00,4.319071380838762408e+00,5.815259905224686721e-01,2.582651737486333400e+07
5.668341708542713242e+00,1.581085034184326998e+00,2.623594920413840015e+00,4.204679954598167235e+00,5.759036139644185814e-01,2.582651737486351281e+07
5.728643216080401501e+00,1.525277948406797757e+00,2.712053708553507914e+00,4.237331656960305892e+00,5.770707751860144619e-01,2.582651737486371025e+07
5.788944723618090649e+00,1.487638349211372502e+00,2.746566365239176299e+00,4.234204714450548579e+00,5.769187221910452301e-01,2.582651737486389279e+07
5.849246231155778908e+00,1.525040870383708613e+00,2.781984133848811158e+00,4.307025004232519549e+00,5.794989939170956950e-01,2.582651737486406416e+07
5.909547738693467167e+00,1.544255647132313003e+00,2.749361239364845222e+00,4.293616886497158447e+00,5.788489805003995681e-01,2.582651737486423552e+07
5.969849246231155426e+00,1.488812662253301777e+00,2.808369349987355879e+00,4.297182012240657656e+00,5.789745502477401384e-01,2.582651737486442551e+07
6.030150753768843686e+00,1.528873922401736474e+00,2.762909115242650593e+00,4.291783037644386845e+00,5.787132456697529070e-01,2.582651737486460432e+07
6.090452261306532833e+00,1.557387743372175226e+00,2.779208182313790410e+00,4.336595925685966080e+00,5.802855373943263118e-01,2.582651737486478686e+07
6.150753768844221092e+00,1.496566238558665107e+00,2.719030759906657213e+00,4.215596998465322542e+00,5.744963028050696918e-01,2.582651737486495078e+07
6.211055276381909351e+00,1.504072603942076425e+00,2.718853269805434181e+00,4.222925873747510828e+00,5.747532691200435417e-01,2.582651737486512586e+07
6.271356783919597611e+00,1.490885598966021908e+00,2.723379984068589721e+00,4.214265583034611851e+00,5.743434052495401954e-01,2.582651737486530840e+07
6.331658291457285870e+00,1.531059918008350396e+00,2.708986870468624630e+00,4.240046788476974804e+00,5.752451161436347160e-01,2.582651737486549094e+07
6.391959798994975017e+00,1.454077393904717574e+00,2.724472840180695687e+00,4.178550234085413706e+00,5.723529751677121080e-01,2.582651737486565113e+07
6.452261306532663276e+00,1.427964960681124884e+00,2.770488030515024569e+00,4.198452991196149675e+00,5.730476928340455522e-01,2.582651737486581504e+07
6.512562814070351536e+00,1.511974495500025606e+00,2.754401406797340357e+00,4.266375902297365741e+00,5.754016806291843977e-01,2.582651737486597151e+07
6.572864321608039795e+00,1.585196141313511164e+00,2.713049208916922694e+00,4.298245350230433637e+00,5.764972486013077990e-01,2.582651737486613542e+07
6.633165829145728054e+00,1.320536090109965643e+00,2.786618136909338794e+00,4.107154227019304216e+00,5.677139709513489008e-01,2.582651737486630678e+07
6.693467336683417201e+00,1.303192313313380701e+00,2.733294942725144949e+00,4.036487256038525651e+00,5.645332551527278975e-01,2.582651737486649305e+07
6.753768844221105461e+00,1.404275801848889449e+00,2.874065145462355808e+00,4.278340947311245479e+00,5.727261585304774805e-01,2.582651737486669421e+07
6.814070351758793720e+00,1.534607200611139977e+00,2.881942580172024648e+00,4.416549780783164181e+00,5.772710954876717482e-01,2.582651737486691773e+07
6.874371859296481979e+00,1.395952980230825702e+00,2.770916079709634161e+00,4.166869059940459863e+00,5.663872040941898556e-01,2.582651737486710772e+07
6.934673366834170238e+00,1.266323272434993541e+00,2.859381679589591663e+00,4.125704952024585204e+00,5.646320968942838414e-01,2.582651737486729771e+07
6.994974874371859386e+00,1.612382403793650498e+00,2.752157395598505030e+00,4.364539799392155750e+00,5.723213954556159999e-01,2.582651737486748397e+07
